<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
06/06/22,000000,29899.6200000,31745.0000000,26532.9500000,26555.2000000,128860
13/06/22,000000,26555.1700000,26869.3500000,17567.4500000,20552.4400000,336603
20/06/22,000000,20552.3900000,21866.0000000,19603.8000000,21027.9200000,142064
27/06/22,000000,21024.8500000,21520.0000000,18603.0000000,19291.3300000,137270
04/07/22,000000,19291.3500000,22490.5400000,19029.3300000,20850.6500000,124502
11/07/22,000000,20850.6500000,21667.1000000,18892.0000000,20791.7400000,131960
