<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
15/08/16,000000,574.9700000,583.9900000,561.5600000,581.2900000,27254
22/08/16,000000,581.3400000,586.9900000,568.9500000,575.4100000,26174
29/08/16,000000,575.4100000,617.1300000,568.1200000,611.9200000,32216
05/09/16,000000,611.9400000,631.3000000,591.8000000,607.9400000,28304
12/09/16,000000,607.9400000,611.9900000,603.0000000,611.4000000,25402
19/09/16,000000,611.4000000,612.4600000,592.6300000,601.6700000,25199
26/09/16,000000,601.6700000,617.1900000,600.0200000,612.4000000,27194
03/10/16,000000,612.4200000,620.0000000,606.9300000,617.4200000,27820
10/10/16,000000,617.4300000,647.0300000,615.4600000,641.9200000,25694
17/10/16,000000,642.1000000,658.0000000,625.6000000,651.0400000,28194
24/10/16,000000,651.0500000,725.6400000,645.8100000,697.4100000,35595
31/10/16,000000,697.3900000,746.1600000,672.0600000,717.0200000,37782
07/11/16,000000,717.0400000,747.2600000,685.7000000,704.0100000,35394
14/11/16,000000,704.0100000,753.8100000,671.2300000,731.9900000,31622
21/11/16,000000,731.7200000,748.7700000,726.0000000,729.2400000,22519
28/11/16,000000,729.2400000,780.0000000,728.2000000,767.9900000,27480
05/12/16,000000,767.9400000,776.9900000,748.6000000,771.0500000,28881
12/12/16,000000,771.0500000,791.9700000,770.8800000,790.7200000,32923
19/12/16,000000,790.7100000,918.5000000,788.5800000,896.1200000,52929
26/12/16,000000,895.9400000,1000.0000000,890.0000000,992.9500000,44790
02/01/17,000000,992.9600000,1175.0000000,802.0700000,923.3300000,83760
09/01/17,000000,922.0400000,923.9800000,734.6400000,833.3100000,63805
16/01/17,000000,833.4300000,946.2500000,826.0300000,931.2200000,35250
23/01/17,000000,929.4500000,931.3300000,880.0000000,916.5400000,28499
30/01/17,000000,916.5600000,1044.1200000,914.6900000,1016.3200000,38039
06/02/17,000000,1016.3200000,1079.0000000,925.0000000,1010.0000000,46774
13/02/17,000000,1009.9900000,1073.8000000,985.6800000,1059.8800000,34220
20/02/17,000000,1059.8800000,1221.9300000,1051.3600000,1184.9100000,48580
27/02/17,000000,1184.9100000,1298.6100000,1085.7100000,1278.9800000,48081
06/03/17,000000,1278.6300000,1360.0000000,956.8500000,1235.5800000,79694
13/03/17,000000,1235.2700000,1277.2700000,919.4400000,1019.4900000,97504
20/03/17,000000,1019.1000000,1120.0000000,890.0500000,973.0800000,88834
27/03/17,000000,973.9700000,1119.0000000,961.1000000,1113.9900000,62056
03/04/17,000000,1113.2300000,1221.0000000,1112.2400000,1210.9700000,58691
10/04/17,000000,1210.9900000,1234.0000000,900.0000000,1177.9900000,36130
17/04/17,000000,1177.6300000,1258.7700000,1170.8500000,1251.9800000,44546
24/04/17,000000,1251.9100000,1394.5100000,1246.3100000,1384.5500000,59807
01/05/17,000000,1384.5500000,1665.0000000,1370.9800000,1609.5700000,110023
08/05/17,000000,1611.1000000,1889.0000000,1608.0000000,1799.9900000,100621
15/05/17,000000,1799.9800000,2102.6800000,1690.1400000,2057.0000000,96665
22/05/17,000000,2056.9900000,2806.0000000,1913.1900000,2232.7800000,191433
29/05/17,000000,2237.0000000,2599.0000000,2112.3100000,2521.3600000,121084
05/06/17,000000,2521.4300000,2998.9900000,2517.0200000,2998.9800000,121629
12/06/17,000000,2998.9800000,2999.9900000,2050.0000000,2515.2500000,182297
19/06/17,000000,2515.2500000,2781.5900000,2430.0500000,2505.6100000,99542
26/06/17,000000,2505.6100000,2605.0000000,2258.3400000,2516.6600000,97082
03/07/17,000000,2515.3700000,2636.1000000,2479.7500000,2508.9900000,33880
10/07/17,000000,2508.0000000,2523.0000000,1758.2000000,1911.7800000,106176
17/07/17,000000,1911.7900000,2957.0000000,1909.5800000,2754.2800000,145724
24/07/17,000000,2755.1900000,2825.1100000,2403.0000000,2723.9900000,85821
31/07/17,000000,2723.9900000,3335.0000000,2650.0000000,3222.2200000,75046
07/08/17,000000,3222.2200000,4200.0000000,3190.0000000,4060.4700000,107554
14/08/17,000000,4060.4700000,4469.0000000,3807.1400000,4050.9900000,129685
21/08/17,000000,4050.9900000,4453.9000000,3583.4600000,4340.1100000,80412
28/08/17,000000,4343.5000000,4980.0000000,4200.0000000,4626.0500000,96867
04/09/17,000000,4626.0500000,4692.0000000,4139.0000000,4251.3600000,99612
11/09/17,000000,4251.3600000,4375.3700000,2975.0100000,3650.0100000,136167
18/09/17,000000,3962.6900000,4049.0000000,3509.7900000,3669.0100000,42682
25/09/17,000000,3669.0100000,4396.9900000,3669.0100000,4394.8100000,34565
02/10/17,000000,4394.8100000,4612.0000000,4150.0100000,4603.4900000,28552
09/10/17,000000,4603.5000000,5867.0000000,4561.0000000,5693.7000000,57135
16/10/17,000000,5693.7000000,6189.1000000,5102.0000000,6005.0500000,48004
23/10/17,000000,6005.0500000,6290.0000000,5376.7100000,6140.0100000,47999
30/10/17,000000,6140.0100000,7630.0000000,6028.0000000,7392.0000000,63201
06/11/17,000000,7391.9500000,7898.0000000,5511.1100000,5886.3500000,85439
13/11/17,000000,5886.3500000,8098.6200000,5850.0000000,8031.8200000,72958
20/11/17,000000,8031.8300000,9596.0000000,7803.1500000,9401.1100000,67077
27/11/17,000000,9401.1100000,11891.0000000,8595.5500000,11290.0000000,102852
04/12/17,000000,11290.0000000,19500.0000000,10950.0000000,15290.0100000,110594
11/12/17,000000,15290.0100000,19891.9900000,15200.1100000,19378.9900000,64976
18/12/17,000000,19378.9900000,19385.0000000,10400.0000000,14221.9400000,99746
25/12/17,000000,14221.9300000,16490.0000000,12500.0000000,13863.1300000,64603
01/01/18,000000,13863.1400000,17178.0000000,12952.5000000,16174.2200000,52627
